LocationId,Name,ParentId,Level,Active,IsDeleted,IsShow,Code,ParentName,Path
2725609187,Phường Suối Hoa,2725600000,3,1,0,1,phuong suoi hoa,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongsuoihoa
2725609190,Xã Võ Cường,2725600000,3,1,0,1,xa vo cuong,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/xavocuong
2725800000,Huyện Yên Phong,2700000000,2,1,0,1,huyen yen phong,Tỉnh Bắc Ninh,root/tinhbacninh/huyenyenphong
2725809193,Thị trấn Chờ,2725800000,3,1,0,1,thi tran cho,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/thitrancho
2725809196,Xã Dũng Liệt,2725800000,3,1,0,1,xa dung liet,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xadungliet
2725809199,Xã Tam Đa,2725800000,3,1,0,1,xa tam da,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xatamda
2725809202,Xã Tam Giang,2725800000,3,1,0,1,xa tam giang,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xatamgiang
2725809205,Xã Yên Trung,2725800000,3,1,0,1,xa yen trung,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xayentrung
2725809208,Xã Thụy Hòa,2725800000,3,1,0,1,xa thuy hoa,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xathuyhoa
2725809211,Xã Hòa Tiến,2725800000,3,1,0,1,xa hoa tien,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xahoatien
2725809214,Xã Hòa Long,2725800000,3,1,0,1,xa hoa long,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xahoalong
2725809217,Xã Đông Tiến,2725800000,3,1,0,1,xa dong tien,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xadongtien
2725809220,Xã Yên Phụ,2725800000,3,1,0,1,xa yen phu,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xayenphu
2725809223,Xã Trung Nghĩa,2725800000,3,1,0,1,xa trung nghia,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xatrungnghia
2725809226,Xã Vạn An,2725800000,3,1,0,1,xa van an,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xavanan
2725809229,Xã Đông Phong,2725800000,3,1,0,1,xa dong phong,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xadongphong
2725809232,Xã Long Châu,2725800000,3,1,0,1,xa long chau,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xalongchau
2725809235,Xã Khúc Xuyên,2725800000,3,1,0,1,xa khuc xuyen,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xakhucxuyen
2725809238,Xã Văn Môn,2725800000,3,1,0,1,xa van mon,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xavanmon
2725809241,Xã Đông Thọ,2725800000,3,1,0,1,xa dong tho,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xadongtho
2725809244,Xã Phong Khê,2725800000,3,1,0,1,xa phong khe,Huyện Yên Phong,root/tinhbacninh/huyenyenphong/xaphongkhe
2725900000,Huyện Quế Võ,2700000000,2,1,0,1,huyen que vo,Tỉnh Bắc Ninh,root/tinhbacninh/huyenquevo
2725909247,Thị trấn Phố Mới,2725900000,3,1,0,1,thi tran pho moi,Huyện Quế Võ,root/tinhbacninh/huyenquevo/thitranphomoi
2725909250,Xã Việt Thống,2725900000,3,1,0,1,xa viet thong,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xavietthong
2725909253,Xã Đại Xuân,2725900000,3,1,0,1,xa dai xuan,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xadaixuan
2725909256,Xã Kim Chân,2725900000,3,1,0,1,xa kim chan,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xakimchan
2725909259,Xã Nhân Hòa,2725900000,3,1,0,1,xa nhan hoa,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xanhanhoa
2725909262,Xã Bằng An,2725900000,3,1,0,1,xa bang an,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xabangan
2725909265,Xã Phương Liễu,2725900000,3,1,0,1,xa phuong lieu,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaphuonglieu
2725909268,Xã Quế Tân,2725900000,3,1,0,1,xa que tan,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaquetan
2725909271,Xã Vân Dương,2725900000,3,1,0,1,xa van duong,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xavanduong
2725909274,Xã Phù Lương,2725900000,3,1,0,1,xa phu luong,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaphuluong
